식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
피자_7번가스페셜 피자 골드스윗 (L),피자,해당없음,266,,13.25,,,3.97,,,,424.0,,,,,5.96,
피자_7번가스페셜 피자 골드스윗 (R),피자,해당없음,265,,13.27,,,4.42,,,,423.0,,,,,5.31,
피자_7번가스페셜 피자 리코타링 (L),피자,해당없음,266,,13.57,,,3.57,,,,457.0,,,,,5.71,
피자_7번가스페셜 피자 리코타링 (R),피자,해당없음,267,,13.33,,,3.81,,,,460.0,,,,,5.71,
피자_7번가스페셜 피자 석쇠 (L),피자,해당없음,261,,13.39,,,3.15,,,,437.0,,,,,4.72,
피자_7번가스페셜 피자 석쇠 (R),피자,해당없음,261,,13.61,,,3.14,,,,437.0,,,,,4.19,
피자_7번가스페셜 피자 씬도우 (L),피자,해당없음,278,,10.53,,,5.26,,,,461.0,,,,,7.02,
피자_7번가스페셜 피자 씬도우 (R),피자,해당없음,264,,11.24,,,4.73,,,,498.0,,,,,5.92,
피자_7번가스페셜 피자 치즈링 (L),피자,해당없음,259,,14.08,,,2.82,,,,480.0,,,,,4.93,
피자_7번가스페셜 피자 치즈링 (R),피자,해당없음,257,,14.81,,,2.78,,,,482.0,,,,,4.63,
피자_BBQ리얼 시카고 피자 (L),피자,해당없음,255,,12.02,,,1.35,,,,460.0,,,,,6.63,
피자_BBQ불고기 피자 마니아 에어도우 (L),피자,해당없음,256,,12.29,,,3.13,,,,414.0,,,,,4.05,
피자_BBQ불고기 피자 마니아 에어도우 (M),피자,해당없음,250,,12.65,,,3.14,,,,510.0,,,,,4.22,
피자_BBQ불고기 피자 마니아 파마산엣지 (L),피자,해당없음,247,,12.54,,,3.13,,,,507.0,,,,,4.18,
피자_BBQ불고기 피자 마니아 파마산엣지 (M),피자,해당없음,250,,12.95,,,3.05,,,,522.0,,,,,4.29,
피자_가든스페셜 피자 (F),피자,해당없음,214,,8.4,,,3.05,,,,468.0,,,,,3.05,
피자_가든스페셜 피자 (L),피자,해당없음,213,,8.21,,,3.08,,,,467.0,,,,,2.56,
피자_가든스페셜 피자 (P),피자,해당없음,214,,8.27,,,3.01,,,,468.0,,,,,3.01,
