식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
크로와상,크로와상,해당없음,446,20.6,7.52,26.98,43.31,6.1,2.3,37.0,0.8,457.0,17.0,0.0,0.0,24.5,9.75,0.27
파이/만주_사과파이,파이/만주,사과파이,185,57.9,2.54,3.91,34.83,7.11,2.3,20.0,0.43,204.0,16.0,0.0,0.1,14.39,1.95,0.17
페이스트리,페이스트리,해당없음,466,19.3,8.31,29.66,41.5,6.43,2.1,20.0,0.46,373.0,154.0,0.0,0.0,36.34,15.31,0.2
피자_콤비네이션피자,피자,콤비네이션피자,274,47.4,10.68,14.36,25.54,4.85,2.6,141.0,0.63,441.0,46.0,0.0,0.43,21.16,3.84,0.08
피자빵,피자빵,해당없음,298,42.1,8.85,15.05,31.76,8.11,2.2,96.0,0.87,637.0,35.0,0.0,0.0,45.6,4.92,0.25
햄버거,햄버거,해당없음,264,49.8,12.85,13.98,21.67,3.13,2.8,16.0,1.36,450.0,9.0,0.0,0.0,45.2,4.42,0.35
햄버거_불고기버거,햄버거,불고기버거,250,50.6,13.88,11.52,22.68,0.13,3.6,15.0,1.24,338.0,7.0,0.0,0.0,45.93,4.34,0.38
호떡_견과류,호떡,견과류,314,29.7,5.41,7.07,57.12,0.73,2.1,14.0,0.38,211.0,0.0,0.0,0.0,0.0,0.89,0.05
간자장,간자장,해당없음,125,73.3,5.12,4.89,15.13,0.86,1.5,12.0,0.54,455.0,0.0,0.0,4.57,6.05,0.8,0.03
국수_막국수,국수,막국수,133,67.2,5.8,1.61,23.9,4.88,1.7,17.0,1.02,405.0,30.0,0.0,2.13,5.53,0.46,0.02
국수_비빔국수,국수,비빔국수,102,74.6,3.01,0.95,20.47,4.11,1.4,20.0,0.53,239.0,17.0,0.0,2.33,1.01,0.2,0.0
국수_잔치국수,국수,잔치국수,44,88.9,1.93,0.49,8.05,0.04,0.8,8.0,1.44,216.0,4.0,0.0,2.18,0.6,0.16,0.0
국수_쟁반막국수,국수,쟁반막국수,119,74.0,6.68,4.56,12.81,8.12,4.5,26.0,1.0,513.0,34.0,0.0,0.93,18.97,0.88,0.04
냉면_물냉면,냉면,물냉면,55,86.5,1.96,0.64,10.31,4.52,0.3,7.0,0.28,161.0,2.0,0.0,0.0,15.35,0.16,0.0
냉면_비빔냉면,냉면,비빔냉면,100,77.4,5.67,2.64,13.35,4.02,1.5,23.0,0.49,177.0,7.0,0.0,3.22,47.34,0.54,0.01
냉면_회냉면_홍어,냉면,회냉면,148,67.1,5.81,4.02,22.21,2.84,2.6,53.0,1.01,99.0,8.0,0.0,3.19,8.88,0.27,0.0
떡국,떡국,해당없음,84,79.0,3.43,0.53,16.37,0.08,0.8,4.0,0.37,176.0,0.0,0.0,2.25,16.7,0.24,0.0
떡만두국,떡만두국,해당없음,111,76.3,3.53,3.91,15.47,0.01,1.8,15.0,0.56,206.0,0.0,0.0,0.0,11.33,0.57,0.02
라면,라면,해당없음,82,81.5,1.72,2.28,13.65,0.0,1.0,33.0,0.07,283.0,3.0,0.0,0.0,0.0,0.82,0.01
라면_달걀,라면,달걀,108,76.3,2.61,3.18,17.33,0.18,0.8,15.0,0.27,183.0,4.0,0.0,0.0,28.5,1.35,0.02
라면_떡,라면,떡,96,78.9,2.04,2.92,15.27,0.0,0.8,33.0,0.05,270.0,2.0,0.0,0.0,0.0,1.0,0.01
만두_고기만두,만두,고기만두,159,64.8,12.38,4.45,17.4,0.16,2.3,20.0,1.03,206.0,6.0,0.0,0.0,19.91,0.61,0.02
만두_군만두,만두,군만두,234,54.4,7.03,11.5,25.57,2.77,3.5,41.0,0.82,385.0,16.0,0.0,4.7,9.49,3.28,0.06
만두_김치만두,만두,김치만두,152,66.4,10.24,4.76,17.02,0.35,2.1,18.0,0.83,393.0,6.0,0.0,0.0,23.27,0.1,0.0
만두_물만두,만두,물만두,195,64.0,8.06,11.13,15.61,2.13,3.1,31.0,0.58,332.0,32.0,0.0,4.73,12.13,3.08,0.05
만두국_사골,만두국,사골,87,82.2,3.74,4.0,8.94,0.06,1.1,14.0,0.67,333.0,6.0,0.0,4.34,26.25,1.71,0.06
메밀국수_온면,메밀국수,온면,63,83.9,3.14,0.29,12.06,0.0,0.8,9.0,0.19,194.0,11.0,0.0,0.0,0.0,0.12,0.0
수제비,수제비,해당없음,58,85.4,2.31,0.52,11.08,0.0,1.1,9.0,0.2,142.0,4.0,0.0,2.17,12.85,0.15,0.0
스파게티_미트볼,스파게티,미트볼,180,65.2,7.34,8.88,17.62,0.89,2.7,18.0,0.9,218.0,18.0,0.0,2.0,12.58,1.44,0.03
우동_일식,우동,일식,158,64.0,1.78,3.22,30.48,0.02,0.8,17.0,0.3,157.0,1.0,0.0,0.0,0.0,0.3,0.04
우동볶음,우동볶음,해당없음,128,69.5,2.8,2.01,24.79,0.43,2.0,7.0,0.19,257.0,13.0,0.0,0.0,0.0,0.49,0.03
월남쌈,월남쌈,해당없음,118,76.1,5.94,4.97,12.25,5.5,1.8,19.0,0.39,230.0,17.0,0.0,0.0,31.58,2.13,0.02
자장면,자장면,해당없음,88,79.8,2.69,2.22,14.37,6.07,1.4,12.0,0.07,307.0,1.0,0.0,4.21,2.05,0.38,0.01
짬뽕,짬뽕,해당없음,58,86.7,2.79,1.54,8.26,1.57,1.6,12.0,0.06,181.0,17.0,0.0,7.81,10.52,0.25,0.01
